,,,,"Перечень объектов, подлежащих мониторингу в 2 квартале 2026 года",,,,,,,,,,,,,,,,,,,,,,
№№,Ссылка на дашборд,УИН,Код ДС,Наименование объекта,Статус,ГРБС,Заказчик,Генподрядчик,"Плановый ввод
 по директивному графику (по дашборду)",%,категория,График  ВВЕ 26-30,Строймониторинг (план),Строймониторинг (факт),Стройконтроль (план),Стройконтроль (факт),Мониторинг объектов метрополитена (план),Мониторинг объектов метрополитена (факт),Мониторинг уникальных объектов (план),Мониторинг уникальных объектов (факт),Лабораторные исследования (план),Лабораторные исследования (факт),Мониторинг СУИД (план),Мониторинг СУИД (факт),Мониторинг КСГ (план),Мониторинг КСГ (факт) 
19,https://dashboard-stroi.mos.ru/dashboard/162,TT0000-99-7753-001,022-0097,"""Жилой дом с инженерными сетями и благоустройством территории (со сносом зданий по адресам: г. Москва, внутригородское муниципальное образование Тимирязевское, 3-й Нижнелихоборский проезд, д. 5; д. 5, стр. 2; д. 5, стр. 3; д. 5, стр. 4; д. 5, стр. 5; д. 5. стр. 6; д. 5, стр. 7; д. 5, стр. 8; д. 5, стр. 9; д. 5, стр. 10; д. 5, стр. 12; д. 5, стр. 13)"" по адресу: г. Москва, внутригородское муниципальное образование Тимирязевское, местоположение расположено в границах ориентира, расположенного в границах участка. Почтовый адрес ориентира: г. Москва, 3-й Нижнелихоборский проезд, вл. 5, стр. 1 (Северный административный округ)",в строительстве,ДГП,"ФОНД ""РЕНОВАЦИИ""","ООО ""СПУТНИК БЕЗОПАСНОСТИ""",30.09.2026,17,6-20,отсутствует,V,,,,,,,,V,,V,,V,30.03.2026
20,https://dashboard-stroi.mos.ru/dashboard/692,TT0000-99-5008-001,024-0611,"Проектирование и строительство первой очереди КНС ""Прокшино"" с АРР и напорными трубопроводами",в строительстве,ДСТИИ,"ГКУ ""УДМС""","АО ""ГК ЕКС""",30.04.2026,100,,Апрель 2026,V,,,,,,,,,,V,,V,09.04.2026
21,https://dashboard-stroi.mos.ru/dashboard/699,TT0000-13-0310-001,024-0612,Проектирование и строительство головных объектов водоснабжения Административно-делового центра в п. Коммунарка (1 очередь). 1 Этап,в строительстве,ДСТИИ,"ГКУ ""УДМС""","ООО ""ДЕЛЬТАТЕХРЕСУРС""",30.12.2026,73,61-80,Декабрь 2026,V,,V,,,,,,V,,V,,V,09.04.2026
22,https://dashboard-stroi.mos.ru/dashboard/702,TT0000-99-8133-001,024-0682,"Строительство улично-дорожной сети для транспортного обслуживания объектов социальной инфраструктуры в д. Лапшинка, влд. 57",в строительстве,ДСТИИ,"АНО ""ДМИС""",Н/Д,30.9.2027,32,21-40,Сентябрь 2027,V,,V,,,,,,V,,V,,V,09.04.2026
23,https://dashboard-stroi.mos.ru/dashboard/710,TT0000-99-8301-001,014-2246,Транспортная развязка на пересечении МКАД с ул.Профсоюзной (2 этап),в строительстве,ДСТИИ,"ГКУ ""УДМС""","ООО ""ИФСК АРКС""",31.3.2026,100,,Март 2026,V,,,,,,,,,,V,,V,09.04.2026
24,https://dashboard-stroi.mos.ru/dashboard/717,TT0000-99-8183-003,025-0202,Транспортная развязка МКАД с Алтуфьевским шоссе. Инженерная инфраструктура,в строительстве,ДСТИИ,"ГКУ ""УДМС""","ООО ""ИФСК АРКС""",31.12.2025,99,81-100,отсутствует,V,,,,,,,,,,V,,V,09.04.2026
25,https://dashboard-stroi.mos.ru/dashboard/721,TT0000-99-8180-002,019-0437,"Строительство искусственного сооружения с улично-дорожной сетью и переустройством инженерных коммуникаций на участке от ул. Б. Филевской до Третьего транспортного кольца вдоль набережной р. Москвы. Этапы 1.1.2.2.,1.2.2.",в строительстве,ДСТИИ,"ГКУ ""УДМС""","ООО ""ТК РУСЛАН-1""",30.06.2026,100,,Июнь 2026,V,,,,,,,,,,V,,V,13.04.2026
26,https://dashboard-stroi.mos.ru/dashboard/725,TT0000-99-7681-002,021-0513,"Строительство улично-дорожной сети для застройки ""ЗИЛ-ЮГ"". Этап 1.1",в строительстве,ДСТИИ,"ГКУ ""УДМС""","АО ""МСУ-1""",30.5.2026,75,61-80,Май 2026,V,,V,,,,,,V,"01.04.2026
IRI ",V,,V,24.03.2026
27,https://dashboard-stroi.mos.ru/dashboard/727,TT0000-99-7620-001,023-0099,"Строительство мостового сооружения через старое русло р. Москва с улично-дорожной сетью в южной части территории публичного акционерного общества ""Завод имени И.А. Лихачева"" . Этапы 3.2.ОС",в строительстве,ДСТИИ,"ГКУ ""УДМС""","ООО ""Энергия ОМ""",31.3.2026,100,,отсутствует,V,,,,,,,,,,V,,V,
28,https://dashboard-stroi.mos.ru/dashboard/766,TT0000-15-0435-002,018-0273,ЮВХ-5. Строительство улично-дорожной сети с искусственными сооружениями и переустройством инженерных коммуникаций на участке от ул. Полбина до Курьяновского б-ра. Инженерные коммуникации.,в строительстве,ДСТИИ,"ГКУ ""УДМС""","АО ""МОСИНЖПРОЕКТ""",30.06.2025,96,81-100,отсутствует,V,,,,,,,,,,V,,V,09.04.2026
29,https://dashboard-stroi.mos.ru/dashboard/779,TT0000-15-0308-001,020-0491,Строительство участков улично-дорожной сети для ТПУ «Ярославская» (этап 2.1),в строительстве,ДСТИИ,"ГКУ ""УДМС""","АО ""МСУ-1""",01.05.2027,99,81-100,Май 2027,V,,,,,,,,,,V,,V,31.03.2026
30,https://dashboard-stroi.mos.ru/dashboard/786,TT0000-15-0188-002,019-0162,"ЮВХ-1.Строительство многоуровневых транспортных развязок через Казанское и Горьковское направление Московской железной дороги на участке от ш. Энтузиастов до Рязанского пр-кта. Этапы 2.1.2, 2.1.3, 2.2 и 3.2 (ЦТП, Трансф.подст)",в строительстве,ДСТИИ,"ГКУ ""УДМС""","АО ""ДИМ""",30.09.2026,99,81-100,Сентябрь 2026,V,,,,,,,,,,V,,V,09.04.2026
31,https://dashboard-stroi.mos.ru/dashboard/802,TT0000-13-0951-001,019-0126,"ЮВХ-3. Участок от ул. Грайвороновская до Шоссейной ул., включая транспортную развязку на пересечении с Волгоградским проспектом. Этапы 1, 2, 3.2.2, 3.3.2, 4",в строительстве,ДСТИИ,"ГКУ ""УДМС""","АО ""МОСИНЖПРОЕКТ""",31.3.2026,100,,Март 2026,V,,,,,,,,,,V,,V,13.04.2026
32,https://dashboard-stroi.mos.ru/dashboard/813,IH1857-13-0001-002,017-0211,"ЮВХ-1.Строительство многоуровневых транспортных развязок через Казанское и Горьковское направление Московской железной дороги на участке от ш. Энтузиастов до Рязанского пр-кта. Этапы 3.2, 3.3",в строительстве,ДСТИИ,"ГКУ ""УДМС""","АО ""ДИМ""",1.6.2026,99,81-100,Июнь 2026,V,,,,,,,,,,V,,V,09.04.2026
33,https://dashboard-stroi.mos.ru/dashboard/967,TT0000-99-2442-001,019-0434,Очистное сооружение № 1 у д. Ликова,в строительстве,ДСТИИ,"ГКУ ""УДМС""","ООО ""СТРОЙМОНТАЖ""",30.4.2026,100,,Апрель 2026,V,,,,,,,,,,V,,V,17.03.2026
34,https://dashboard-stroi.mos.ru/dashboard/968,IH1169-13-0001-001,023-0671,"Реконструкция Угрешских очистных сооружений поверхностных и близких к ним по составу производственных сточных вод (1 очередь) и строительство на высвобожденных после реконструкции площадях производства по термическому обезвреживанию коммунальных и промышленных отходов (2 очередь), 1 этап (очередь) - реконструкция Угрешских очистных сооружений поверхностных и близких к ним по составу производственных сточных вод, ул. Угрешская, д. 22",в строительстве,ДСТИИ,"ГКУ ""УДМС""","ООО ""АртСтройТехнология""",30.6.2026,94,81-100,Июнь 2026,V,,V,,,,,,,,V,,V,09.04.2026
35,https://dashboard-stroi.mos.ru/dashboard/970,II0836-13-0002-001,012-3881,"Реконструкция водоочистных сооружений, пруд- отстойник ""Орехово-Борисово"", 2 этап (0,35 куб.м/сутки), Шипиловский пр-д, влд. 24",в строительстве,ДСТИИ,"ГКУ ""УДМС""","ООО ""ПРОМТЕХГРУПП""",30.05.2026,77,61-80,Май 2026,V,,V,,,,,,V,,V,,V,09.04.2026
